1518148,5572309,13941313,30085675,33436583,34037160,37021013,38374651,42628695,54716168,57651700,59189593,59577399,91866735,302906238,349450705
嘿,去年夏天,和你在一起?(2015动静版),说谎的爱人,影响 - (电视剧《创业时代》爱情主题曲),Penser?l'impossible,From?Here,开心电话,Closer,杀死那个石家庄人,逝年,可不可以,My?Jinji - (我的金桔),原谅,找朋友,凤凰城的故事
没有说完的故事 - (动画电影《美食大冒险之英雄烩》片尾曲),Something?Just?Like?This,Human?Legacy,爱情重伤,And?The?Winner?Is,像我这样的人,Walking?On?The?Sidewalk,悲伤的梦,拿走了什么,空隙,天空,花鸟风月,I?Know?You?Know?I?Love?You,父亲写的散文诗(时光版),上学歌,青原
23秒32年 - (电影《唐山大地震》主题曲),浮生,去年夏天,花花公子(Live)?-?live,一念之间,It's?Always?The?Little?Things,卡农变奏曲,"再见,再见",拿走了什么,两个人的假期,原来你也在这里,何曾惧（Cover：Vk/五音Jw/Aki阿杰）,Burgundy?Red - (勃艮第红),言不由衷,捉泥鳅,歌
Stairway?To?Heaven,云烟成雨 - (动画《我是江小白》片尾曲),暧昧,烟花句,二十二,????? - (HALYANG?DREAM),Childhood,普通孩子,你，好不好？ - (电视剧《遗憾拼图》片尾曲),安阳,十字路口,【洞箫】天行九歌（Cover?霍尊）,Little?Monkey?Rides?on?the?Little?Donkey,Closer,Cry?Cry,桃花镇
The?Way,房间?(新版) - (电影《超时空同居》插曲),人间,你可知我想你,辣糖,??? - (JOA),一个人对话,玩具,Creep,西湖,??????????????? - (为什么不接电话),柔情密意（韩非与嬴政）,Slow - (缓慢),不醉不会 - (原唱?:?田馥甄),Lovey-Dovey,妄越
你,漂向北方,暗涌,分分钟需要你,"爱,很简单(Live)?-?live",喜欢寂寞,一事无成的伟大,i?dont?care?about?anything?anymore,不完美女孩 - (原曲?:?TFBOYS《不完美小孩》),嘿!姑娘,你今天怎么样,秋水伊人（韩非与嬴政）,Almost?Mature?'87 - (即将成熟),"Flashlight?-?From?""Pitch?Perfect?2""?Soundtrack",DAY?BY?DAY,我想和这个世界谈谈
光,Glow?Like?Dat,有的时候,Do?You?Hear?the?People?Sing,自导自演的悲剧,灰色头像,越来越不懂,23时59分,我们 - (电影《后来的我们》主题曲),Bling?Bling?Bling,你笑着流出了泪,ニッポン笑顔百景 - (TV动画《女子落》片尾曲?/?TVアニメ「じょしらく」EDテーマ),Queen,突然想起你(Live),FIRE?(INSTRUMENTAL)?(JP?Ver.),塔吉汗
不必在乎我是谁,Where'd?You?Go,二皮脸,I?See?Cali?,找自己,再遇见 - (Met?Again),我爱你,你要如何，我们就如何,猫になりたい - (想要变成猫),我想为你唱首顶楼马戏团的歌,太阳和野花,幻の命,Summum?Bonum - (再好不过),Angel?By?The?Wings - (电影《女猎鹰人》主题曲),Catch?Me?If?You?Can - (Japanese?Ver.),大连
听说爱情回来过,Tender,青鸟与诗,Rasputin,北京到台北,苦瓜,我怎么哭了,三線の花 - (电影《泪光闪闪》插曲?/?映画「涙そうそう」挿入歌),今晩はお月さん - (今晚月色真好),心要野,何山-时光是个少年犯,鲸歌（Cover?萨满乐队）,Greedy - (贪心),Venice?Bitch,I?Got?a?Boy,执迷梦中
流着泪说分手,崂山道士,Falling?Into?A?Dream - (坠入梦境),"生下来,活下去",私奔,耳朵,王牌冤家,接下来如何,再谈记忆 - (Say?it?again),这日子没法过了,六层楼,让酒 - (电视剧《沙海》插曲),Angel?Disco?Love - (天使爱人),Radioactive,Mr.Taxi,小屋
时间里的飞人,Free?Loop,爱在安大,朵 - (Dorr),每个路人熄灭一盏灯,前座后座,台北之旅,八号技师（Diss?Back）,唱不完的副歌,要死一块死,镜子中,君心剑意(藏剑),Bomb?of?Love,Slippin,Oh!,春歌
心跳,理想三旬?(Live),剑拔弩张 - (Ready?to?fight),happy?tree?friends?主题曲,新的家,最佳歌手,让世界毁灭,第二履历,心做し,长城宾馆,逆流,心仪,New?Drug - (纽药),The?Greatest,The?Boys,春歌
叶子 - (电视剧《蔷薇之恋》片尾曲),改天再忙,这个世界会好吗(2014i/O版),刚好遇见你,星星月亮,932,走慢一点点,不就是落单?(伴奏),仰世而来,印度神油,浮游,月圆花好,Oriental - (奥瑞安托),Flames,Gee?(Korean?ver.),城南旧事
走马,日落大道,一代宗师 - (Maestro),下雨天,还想听你的故事,烟火里的尘埃,感谢你曾来过,不就是落单,Never?Enough,Wesley's?Theory,你就是我最想要的丫头 - (电视剧《嘿！老头》插曲),花好月圆夜 - (电影《花好月圆》插曲),Libidream - (丽比梦),Genius,Mr.Chu?(On?Stage)?-Japanese?Ver.-,你好重庆
