artist_name,artist_id,artist_homepage
AThree-Arslan,1087200,60279611
阿杜,1876,714040
Assen捷,187295,2074263
安苏羽,12132566,375114798
DJ-Varc,1878,58716174
阿杰729,1106124,430866811
安来宁,802016,33709369
AlimjanTursun,1081752,72145909
abduwali tohti,1132222,79253501
爱乐团王超,10998,265145
A路人,1132013,93249076
阿来,784443,77203182
阿良良木健,964311,55294201
阿力木江·托合提,1058073,844775
阿尔达克,1045019,38992062
安东阳,1945,31841999
Andy Mei,12074017,39028022
Azoy,1081117,40043798
阿尔法,1102011,97600017
Allfine,1122109,66832069
阿力普,804159,268876
akbar ahmat ziba,1049340,49472751
安神,1980,1496861
积木立方,1050612,50093401
阿沁,1872,644496429
AKA道长,1039594,3434543
阿见,762462,281762
艾尼瓦尔江,1047377,118028266
Akbar Kahriman,1084038,75115520
Archaic幻梦,1053043,58115137
AiPi ,1054175,58886395
Annco.Liu,1054144,60031790
阿译,1961,78247044
Fumos,1080022,70414253
艾克拜尔,229593,19561169
曹翟,832010,134325858
敖日格乐,862110,291771145
士辉,1087768,78110805
Arivval,12046022,121793002
阿振,1902,1495462403
Kadirya,1060224,61712934
a$ce,1054114,41458037
AseLOrDa,1081930,35424613
Anchoe,1039416,20583267
阿拉腾傲刀,1926,117752449
YoungDrake,1054102,55712214
安浩,1124167,78418790
ABSDJHONG,1075100,36112831
YK-D,1047280,50841606
ANNER,805076,426854719
安然,12942194,454995266
白小白,12356407,76484531
SAM努尔夏提,839689,3107354
布瑞吉Bridge,12493701,302527594
白亮,1084207,3469090
Bilal Enwer,1039011,76491986
冰块先生,1054040,59386252
白举纲,909029,70317842
变奏的梦想,1085053,72095760
Braska,1048054,127410049
白宁,1050807,40178625
BrAnTB,12523451,48095201
拜合提亚bahtiyar aziz,1131033,43084442
白菜,14100563,326238845
拜尔,2056,203596
血男孩,2103,9089660
Beatsound,2104,105281132
笨笨口琴,1053147,58862521
波拉,2087,52782974
边江,12457194,274671758
薄彩生,816079,2440981
孛儿只斤·包迪,12090249,62441476
白天不亮,2055,252270
Ballrockin,1081918,45385170
鲍鹏,12279094,419016062
毕书尽,2059,65729840
百慕三石,2048,9315810
BlurryCloud,1038371,45546271
Viper毒蛇,1044102,1799689
巴顿,1078363,69873322
BigKey,868113,3240042
白羽,2060,59625484
贝歌,1038088,523357
BHTY-R,1078050,54200041
